text,author
"A restlessness, a fear of what was about to betide, a doubt as to Raymond's purposes, urged me to return without delay to his quarters.",MWS
"One only condition I would make, that you do nothing without his concurrence.""",MWS
"Have you got him here?""",EAP
"I would in vain attempt to portray the majesty, the quiet ease, of her demeanor, or the incomprehensible lightness and elasticity of her footfall.",EAP
"On the fourth her corpse was found floating in the Seine, near the shore which is opposite the Quartier of the Rue Saint Andree, and at a point not very far distant from the secluded neighborhood of the Barrière du Roule.",EAP
To escape these evils was the aim and scope of all our exertions.,MWS
"No one who knows me will doubt that the duty thus self imposed will be executed to the best of my ability, with all that rigid impartiality, all that cautious examination into facts, and diligent collation of authorities, which should ever distinguish him who aspires to the title of historian.",EAP
"By the time, however, that the fog had thoroughly disappeared, the sun had made its way down behind the gentle hills, and thence, as if with a slight chassez to the south, had come again fully into sight, glaring with a purplish lustre through a chasm that entered the valley from the west.",EAP
"We visited the wondrous cave and the little cabinets of natural history, where the curiosities are disposed in the same manner as in the collections at Servox and Chamounix.",MWS
"The Frenchman followed in despair; the ape, razor still in hand, occasionally stopping to look back and gesticulate at its pursuer, until the latter had nearly come up with it.",EAP
"In scrutinizing the edges of the paper, I observed them to be more chafed than seemed necessary.",EAP
"She drifted towards the harbour, and was stranded on the sands at the entrance.",MWS
"Very little concerning this skeleton has leaked out, but the workmen who found it whisper in shocked tones about the long, brownish hairs with which it was associated.",HPL
"Ever since his son had commenced to grow out of infancy he had liked his home less and less, till at last he had seemed to dread it.",HPL
"Come then, no more delay, thou tardy one Behold the pleasant potion Look, I am a spirit of good, and not a human maid that invites thee, and with winning accents, oh, that they would win thee says, Come and drink.""",MWS
The light seemed now to be more like a rain or hail of small violet particles than like a continuous beam.,HPL
To queries put to him by any other person than myself he seemed utterly insensible although I endeavored to place each member of the company in mesmeric rapport with him.,EAP
"It is still spectral, but its strangeness fascinates me, and I shall find mixed with my relief a queer regret when it is torn down to make way for a tawdry shop or vulgar apartment building.",HPL
I wish I could believe that doctor.,HPL
We do not believe that any reasonable objections can be urged against this solution of the Automaton Chess Player.,EAP
"He passed his younger days perpetually occupied by the affairs of his country; a variety of circumstances had prevented his marrying early, nor was it until the decline of life that he became a husband and the father of a family.",MWS
"How absurd in these people, then, to persist in putting faith in ""axioms"" as immutable bases of Truth But even out of the mouths of their soundest reasoners it is easy to demonstrate the futility, the impalpability of their axioms in general.",EAP
What I saw what I heard what I felt what I thought had about it nothing of the unmistakable idiosyncrasy of the dream.,EAP
"This is somewhat thick, and so are her ankles, but she has a fine pair of green stockings to cover them.",EAP
"It was a key a guide to certain gateways and transitions of which mystics have dreamed and whispered since the race was young, and which lead to freedoms and discoveries beyond the three dimensions and realms of life and matter that we know.",HPL
"""After some weeks my wound healed, and I continued my journey.",MWS
"About eight inches immediately below these ropes, and four feet from the bottom of the car I fastened another shelf but made of thin plank, being the only similar piece of wood I had.",EAP
"I myself had just alighted from a litter, which the Illyrian bearers seemed to have brought in some haste from Calagurris, across the Iberus to the southward.",HPL
"Remember me with affection, should you never hear from me again.",MWS
"In his amendment he proposed, that an exception should be made in the bill in favour of any person who claimed the sovereign power in right of the earls of Windsor.",MWS
Armington helped Birch to the outside of a spare bed and sent his little son Edwin for Dr. Davis.,HPL
"In five minutes the whole sea, as far as Vurrgh, was lashed into ungovernable fury; but it was between Moskoe and the coast that the main uproar held its sway.",EAP
"""All men hate the wretched; how, then, must I be hated, who am miserable beyond all living things Yet you, my creator, detest and spurn me, thy creature, to whom thou art bound by ties only dissoluble by the annihilation of one of us.",MWS
"A full thousand cubits high stood the greatest among them, wherein the high priests dwelt with a magnificence scarce less than that of the kings.",HPL
"From a wide circle of ten scaffolds set up at regular intervals with the flame girt monolith as a centre hung, head downward, the oddly marred bodies of the helpless squatters who had disappeared.",HPL
"From that memorable night, I dismissed forever my charnel apprehensions, and with them vanished the cataleptic disorder, of which, perhaps, they had been less the consequence than the cause.",EAP
"The wind grew stronger, and the air was filled with the lethal, charnel odour of plague stricken towns and uncovered cemeteries.",HPL
Life was then brilliant; I began to learn to hope and what brings a more bitter despair to the heart than hope destroyed?,MWS
"Poor and rich were now equal, or rather the poor were the superior, since they entered on such tasks with alacrity and experience; while ignorance, inaptitude, and habits of repose, rendered them fatiguing to the luxurious, galling to the proud, disgustful to all whose minds, bent on intellectual improvement, held it their dearest privilege to be exempt from attending to mere animal wants.",MWS
I can just remember the titles of some of the works.,EAP
"That, you remember, was when Minot cut him.",HPL
"Now that I am arrived at its base, my pinions are furled, the mighty stairs are before me, and step by step I must ascend the wondrous fane Speak What door is opened?",MWS
"You will smile at my allusion, but I will disclose a secret.",MWS
"The word ""husband"" seemed forever to use one of her own delicate expressions forever ""on the tip of her tongue.""",EAP
This was my first love so I felt it to be.,EAP
"Having related all that was necessary for the fullest judicial conviction, I fell prostrate in a swoon.",EAP
"""Nor is it to be thought,"" ran the text as Armitage mentally translated it, ""that man is either the oldest or the last of earth's masters, or that the common bulk of life and substance walks alone.",HPL
My plan was exceedingly simple.,EAP
"It now only remains to give you the full translation of the characters upon the parchment, as unriddled.",EAP
"""Now if you're game, I'll take you there tonight.",HPL
"I passed by a group of these terrorists, in a lane in the direct road to the hut.",MWS
I left a guard to protect this treasure of dust; and ordered perpetual torches to be burned around.,MWS
"I had long before resolved to limit my observations to architecture alone, and I was even then hurrying toward the Square in an effort to get quick transportation out of this festering city of death and decay; but the sight of old Zadok Allen set up new currents in my mind and made me slacken my pace uncertainly.",HPL
Again her chill limbs touched me as a torpedo; and I shuddered in sympathy with her pain and fright.,MWS
"""It may appear invidious in me, Miss Psyche Zenobia, to refer you to any article, or set of articles, in the way of model or study, yet perhaps I may as well call your attention to a few cases.",EAP
"Oft when I have listened with gasping attention for the sound of the ocean mingled with my father's groans; and then wept untill my strength was gone and I was calm and faint, when I have recollected all this I have asked myself if this were not madness.",MWS
"How it had ever come into the possession of a common sailor, neither he nor I could imagine.",HPL
"I knew one about eight years of age, whose success at guessing in the game of 'even and odd' attracted universal admiration.",EAP
"The first and most obvious inference is, that so strong a light is requisite to enable the man within to see through the transparent material probably fine gauze of which the breast of the Turk is composed.",EAP
The first comer now went to a cupboard on the inner side of the room and extracted a coil of rope.,HPL
She was half mad from the effects of uncontrollable agitation.,MWS
"""You are all mad every one of you.",EAP
"When she perceived the wild or pathetic appeal of his expressive countenance, she would relent, and for a while resume her ancient kindness.",MWS
"As to personal endowments, I am by no means deficient.",EAP
"With angry gestures he leapt from his horse, and seizing a hatchet that hung from his saddle bow, went with the apparent intention of battering down the opposing gate.",MWS
"The father of Adrian yielded up the already broken sceptre of England; but I will rear the fallen plant, join its dismembered frame, and exalt it above all the flowers of the field.",MWS
"The visiter, shooting suddenly into this bay from out the gloom of the ravine, is delighted but astounded by the full orb of the declining sun, which he had supposed to be already far below the horizon, but which now confronts him, and forms the sole termination of an otherwise limitless vista seen through another chasm like rift in the hills.",EAP
"Mumbled tales of the weird rites and godless revels of bygone years in the ancient hall gave to me a new and potent interest in the tomb, before whose door I would sit for hours at a time each day.",HPL
"While such discussions were going on, their subject gradually approached, growing larger in apparent diameter, and of a more brilliant lustre.",EAP
"Death, which had in our younger days walked the earth like ""a thief that comes in the night,"" now, rising from his subterranean vault, girt with power, with dark banner floating, came a conqueror.",MWS
We had prepared a banquet for our guests in the lower hall of the castle; and thither Idris and I repaired to receive and entertain the few that remained.,MWS
Something in the air of the hoary town worked obscurely on his imagination.,HPL
"A very large mastiff seemed to be in vigilant attendance upon these animals, each and all.",EAP
"Other specimens the youth had not seen, though many were rumoured to exist around Innsmouth.",HPL
"Pronounced well by his physician, he returned to his quarters in three days; but to Professor Angell he was of no further assistance.",HPL
"Dr. Johnson was second to no Man in the Pains he took to revise the bad Verses of others; indeed, 'tis said that in the book of poor blind old Mrs. Williams, there are scarce two lines which are not the Doctor's.",HPL
A truce was concluded between the Greeks and Turks.,MWS
"But when questioned, Slater relapsed into the habitual vacancy of the mountaineer, and only reiterated what he had said on the preceding day.",HPL
"But he was unmoved, and cried: ""If I am mad, it is mercy May the gods pity the man who in his callousness can remain sane to the hideous end Come and be mad whilst he still calls with mercy"" This outburst seemed to relieve a pressure in his brain; for as he finished he grew much milder, asking me to let him depart alone if I would not accompany him.",HPL
"We, however, lay to until the morning, fearing to encounter in the dark those large loose masses which float about after the breaking up of the ice.",MWS
"The first coup d'oeil, as the sun slid into the position described, impressed me very much as I have been impressed, when a boy, by the concluding scene of some well arranged theatrical spectacle or melodrama.",EAP
"Then everyone noticed a strangely unseasonable noise in the deep valley behind, and even in the underbrush of Sentinel Hill itself.",HPL
"He soon reached the summit, and disappeared.",MWS
"Now the net work was not permanently fastened to the hoop, but attached by a series of running loops or nooses.",EAP
Then on his word and will depended my own happiness the fate of all dear to me.,MWS
"Touching the derivation of the name Vondervotteimittiss, I confess myself, with sorrow, equally at fault.",EAP
Ef they dun't they'll kinder quiet daown like.,HPL
"The unexampled loveliness of the flower clad earth the genial sunshine and grateful shade the melody of the birds the majesty of the woods the splendour of the marble ruins the clear effulgence of the stars by night the combination of all that was exciting and voluptuous in this transcending land, by inspiring a quicker spirit of life and an added sensitiveness to every articulation of her frame, only gave edge to the poignancy of her grief.",MWS
He talked of Eusebius and Arianus; heresy and the Council of Nice; Puseyism and consubstantialism; Homousios and Homouioisios.,EAP
"I would surely be very glad to get out of malodorous and fear shadowed Innsmouth, and wished there were some other vehicle than the bus driven by that sinister looking fellow Sargent.",HPL
"You, Sir, are the first outsider to be told there is a secret, and split me if I'd have risked tampering that much with the powers had ye not been so hot after bygone things.""",HPL
"Besides all this, the lawn's velvet was exquisitely spotted with sheep a considerable flock of which roamed about the vale, in company with three tamed deer, and a vast number of brilliantly plumed ducks.",EAP
"I had seen it from the road's crest when I looked at Kingsport in the new dusk, and it had made me shiver because Aldebaran had seemed to balance itself a moment on the ghostly spire.",HPL
"You tried to stop me; you discouraged me when I needed every drop of encouragement I could get; you were afraid of the cosmic truth, you damned coward, but now I've got you What swept up the servants?",HPL
"That fateful night I was wildly agitated and perturbed, for despite the excellent care he had received, Joe Slater was unmistakably dying.",HPL
"No portion of the masonry had fallen; and there appeared to be a wild inconsistency between its still perfect adaptation of parts, and the crumbling condition of the individual stones.",EAP
"The country afforded no such mass of horrors; solitary wretches died in the open fields; and I have found a survivor in a vacant village, contending at once with famine and disease; but the assembly of pestilence, the banqueting hall of death, was spread only in London.",MWS
Kepler guessed that is to say imagined.,EAP
"West's last quarters were in a venerable house of much elegance, overlooking one of the oldest burying grounds in Boston.",HPL
"On her return, at about nine o'clock, she met a man who asked her if she had seen anything of the child who was lost.",MWS
"""I had told you that this was in reference to Orion, formerly written Urion; and, from certain pungencies connected with this explanation, I was aware that you could not have forgotten it.",EAP
"It was open, and its contents lay beside it on the floor.",EAP
"She returned no more to her husband, but, concealing from him her resurrection, fled with her lover to America.",EAP
There does not exist the man in England with adequate presumption.,MWS
It is the mal practice of the courts to confine evidence and discussion to the bounds of apparent relevancy.,EAP
"Were I now to commit an act which would annihilate my hopes, and pluck the regal garment from my mortal limbs, to clothe them in ordinary weeds, would this, think you, be an act of free will on my part?""",MWS
Raymond then lamented the cureless evil of his situation with Perdita.,MWS
"Then he would try to straighten up, and a certain fire would creep into the sunken eyes.",HPL
"But these principles cannot be extended to the human organization, wherein there is a marked and radical difference in the construction, and, at all events, in the powers, of the right and left arms.",EAP
"Whether you ever get this letter or not is point of little importance, as I write altogether for my own amusement.",EAP
"Zaffre, digested in aqua regia, and diluted with four times its weight of water, is sometimes employed; a green tint results.",EAP
"At length, erecting his frame, he looked upwards, and ejaculated the lines of the Bishop of Chichester: ""Stay for me there I will not fail To meet thee in that hollow vale.""",EAP
A dozen times he hears or fancies the step of an observer.,EAP
"We changed to the elevated at the South Station, and at about twelve o'clock had climbed down the steps at Battery Street and struck along the old waterfront past Constitution Wharf.",HPL
"There were circumstances but I think it much safer upon consideration to say as little as possible about an affair so delicate so delicate, I repeat, and at the time involving the interests of a third party whose sulphurous resentment I have not the least desire, at this moment, of incurring.",EAP
"He can no longer be a subject for pity; we must reserve that for his miserable survivors.""",MWS
"I wish you, therefore, to discard from your thoughts the blundering idea of motive, engendered in the brains of the police by that portion of the evidence which speaks of money delivered at the door of the house.",EAP
A small iron safe was discovered under the bed not under the bedstead.,EAP
"In truth so deeply was I excited by the perilous position of my companion, that I fell at full length upon the ground, clung to the shrubs around me, and dared not even glance upward at the sky while I struggled in vain to divest myself of the idea that the very foundations of the mountain were in danger from the fury of the winds.",EAP
"The gentle manners and beauty of the cottagers greatly endeared them to me; when they were unhappy, I felt depressed; when they rejoiced, I sympathized in their joys.",MWS
"Should I return to the Castle, to my wife and children, with this taint upon me?",MWS
"Clerval eagerly desired to accept this invitation, and I, although I abhorred society, wished to view again mountains and streams and all the wondrous works with which Nature adorns her chosen dwelling places.",MWS
"His skin, nearly black, his matted hair and bristly beard, were signs of a long protracted misery.",MWS
The longer I meditated upon these the more intense grew the interest which had been excited within me.,EAP
"Imitating Pickman's listening, I fancied I heard a faint scurrying sound somewhere, and a series of squeals or bleats in a direction I couldn't determine.",HPL
"""Your repentance,"" I said, ""is now superfluous.",MWS
"She was attired in deep mourning, and excited in my bosom a feeling of mingled respect, interest, and admiration.",EAP
"""Well, den, zit still and pehabe yourself, or I'll rap you again mid me vist.",EAP
"Then suddenly all the stars were blotted from the sky even bright Deneb and Vega ahead, and the lone Altair and Fomalhaut behind us.",HPL
"We will only suggest that, although the top of the box is apparently a board of about three inches in thickness, the spectator may satisfy himself by stooping and looking up at it when the main compartment is open, that it is in reality very thin.",EAP
His ordinary manner had vanished.,EAP
"Firmly though respectfully they signified their refusal to revisit the chasm, or indeed to work further in the mine until it might be sealed.",HPL
"The fields had been left uncultivated, weeds and gaudy flowers sprung up, or where a few wheat fields shewed signs of the living hopes of the husbandman, the work had been left halfway, the ploughman had died beside the plough; the horses had deserted the furrow, and no seedsman had approached the dead; the cattle unattended wandered over the fields and through the lanes; the tame inhabitants of the poultry yard, baulked of their daily food, had become wild young lambs were dropt in flower gardens, and the cow stalled in the hall of pleasure.",MWS
"Yet could no act be performed to check the impending cataclysm; for the swart, sinister men were old in cunning.",HPL
"Henry Wheeler, trembling, turned the rescued telescope on the mountain to see what he might.",HPL
"Nobody cud git aout o' them whar they got all the stuff, an' all the other natives wondered haow they managed to find fish in plenty even when the very next islands had lean pickin's.",HPL
"I'm middle aged and decently sophisticated, and I guess you saw enough of me in France to know I'm not easily knocked out.",HPL
"Stress of weather drove us up the Adriatic Gulph; and, our vessel being hardly fitted to weather a storm, we took refuge in the port of Ancona.",MWS
"Just where to begin Birch's story I can hardly decide, since I am no practiced teller of tales.",HPL
The Elmer Fryes had been erased from Dunwich.,HPL
"The houses were tall, peaked roofed, incredibly old, and crazily leaning backward, forward, and sidewise.",HPL
"He showed unparalleled malignity and selfishness in evil; he destroyed my friends; he devoted to destruction beings who possessed exquisite sensations, happiness, and wisdom; nor do I know where this thirst for vengeance may end.",MWS
"A woman deposed that she lived near the beach and was standing at the door of her cottage, waiting for the return of the fishermen, about an hour before she heard of the discovery of the body, when she saw a boat with only one man in it push off from that part of the shore where the corpse was afterwards found.",MWS
There was the President of the Fum Fudge University.,EAP
"""Ha ha ha why, Simpson, you have an astonishing tact at making discoveries original ones, I mean.""",EAP
"The hangman, however, adjusted the noose about my neck.",EAP
"I did not sleep well that night, and wondered exactly when the end would come.",HPL
And now Sefton Asylum has had the mishap and West has vanished.,HPL
"During this interval, one of the servants, happening to examine the apparel she had worn on the night of the murder, had discovered in her pocket the picture of my mother, which had been judged to be the temptation of the murderer.",MWS
"But, apart from decomposition, there may be, and very usually is, a generation of gas within the stomach, from the acetous fermentation of vegetable matter or within other cavities from other causes sufficient to induce a distension which will bring the body to the surface.",EAP
"At length they began to interfere with the inhabitants, and strong in their concentrated numbers, ejected the natives from their dwellings, and robbed them of their winter store.",MWS
"Leaving open the main compartment, the drawer, and the front door of cupboard No. I, he now goes to the rear again, and throws open the back door of the main compartment.",EAP
With her left she pointed downward to a curiously fashioned vase.,EAP
"For a moment I saw nothing save a myriad of tiny dancing lights, far, far before me.",HPL
"Her dark hair was braided and twined in thick knots like the head dress of a Grecian statue; her garb was mean, but her attitude might have been selected as a model of grace.",MWS
"""The nitre"" I said: ""see, it increases.",EAP
"Since the original publication of Hans Pfaall, I find that Mr. Green, of Nassau balloon notoriety, and other late aeronauts, deny the assertions of Humboldt, in this respect, and speak of a decreasing inconvenience, precisely in accordance with the theory here urged in a mere spirit of banter.",EAP
"From Lydia to Neapolis the beauty of their work was praised, and none dared say that the one excelled the other in skill.",HPL
"Upon turning it over, I saw my own sketch upon the reverse, just as I had made it.",EAP
One of the most remarkable instances was that of the murder of a young girl named Marie Rogêt.,EAP
"As his hammer blows began to fall, the horse outside whinnied in a tone which may have been encouraging and may have been mocking.",HPL
"As I hung back, the old man produced his stylus and tablet and wrote that he was the true deputy of my fathers who had founded the Yule worship in this ancient place; that it had been decreed I should come back, and that the most secret mysteries were yet to be performed.",HPL
Methought I was immersed in a cataleptic trance of more than usual duration and profundity.,EAP
The earth was spread out as an highway for him; the heavens built up as a canopy for him.,MWS
My appearance is commanding.,EAP
"To this state there was no hope, no alleviation, unless the grave should quickly receive its destined prey, and she be permitted to die, before she experienced a thousand living deaths in the loss of those she loved.",MWS
She was warmly attached to the child who is now dead and acted towards him like a most affectionate mother.,MWS
"In halls such as these in a bridal chamber such as this I passed, with the Lady of Tremaine, the unhallowed hours of the first month of our marriage passed them with but little disquietude.",EAP
"Not only had he a more than ordinary dislike to quackery, but he was morbidly afraid of appearing empirical; so that, however fully he might have been convinced that he was on the right track in the matter now in question, he would never have spoken out, until he had every thing ready for the most practical demonstration.",EAP
"Her voice embraced three complete octaves, extending from the contralto D to the D upper soprano, and, though sufficiently powerful to have filled the San Carlos, executed, with the minutest precision, every difficulty of vocal composition ascending and descending scales, cadences, or fiorituri.",EAP
He threatened excommunication and hell fire in my last moments if I continued obdurate.,MWS
"His cue, which was to perfect an imitation of myself, lay both in words and in actions; and most admirably did he play his part.",EAP
"Was man, indeed, at once so powerful, so virtuous and magnificent, yet so vicious and base?",MWS
I expressed these feelings in my answer.,MWS
"Among other things, I had the family vault so remodelled as to admit of being readily opened from within.",EAP
"Now at nine o'clock of every morning in the week, with the exception of Sunday, the streets of the city are, it is true, thronged with people.",EAP
"My productions however were sufficiently unpretending; they were confined to the biography of favourite historical characters, especially those whom I believed to have been traduced, or about whom clung obscurity and doubt.",MWS
"There had been soft talking, too and as he began to describe it his voice had sunk to an inaudible whisper.",HPL
"I became my original self, and bent my steps eagerly homeward but the past had not lost the vividness of the real and not now, even for an instant, can I compel my understanding to regard it as a dream.""",EAP
"""Yes, there's a hotel in Innsmouth called the Gilman House but I don't believe it can amount to much.",HPL
"It was, the professor stated, a very crude bas relief of stone, comprising a hideous picture and some cryptic writing.",HPL
"Postponing, therefore, for the present, my suicidal design, I just slipped my nether extremities into the sleeves of my coat, and betook myself to a pursuit of the felon with all the nimbleness which the case required and its circumstances would admit.",EAP
"Under cover of the widely projecting eave these steps gave access to a door leading to the garret, or rather loft for it was lighted only by a single window to the north, and seemed to have been intended as a store room.",EAP
"For a moment I could yield to the creative power of the imagination, and for a moment was soothed by the sublime fictions it presented to me.",MWS
"The chanting of the men from Arkham now became unmistakable, and Wheeler saw through the glass that they were all raising their arms in the rhythmic incantation.",HPL
The style that was the thing.,EAP
But to convince you that selfish feeling does not entirely engross me I shall remain in this town untill you have made by letter every arrangement that you judge necessary.,MWS
"""You did see it until it got dark.""",HPL
"We passed over innumerable vessels of all kinds, a few of which were endeavoring to beat up, but the most of them lying to.",EAP
"There was much of the beautiful, much of the wanton, much of the bizarre, something of the terrible, and not a little of that which might have excited disgust.",EAP
"The studied immovability of her countenance; her slow, equable manner, and soft but unmelodious voice, were a mask, hiding her fiery passions, and the impatience of her disposition.",MWS
"Their beauty was Grecian, their deformity Egyptian, their tout ensemble French.",EAP
You can bet that prying strangers ain't welcome around Innsmouth.,HPL
"At other times he worked in the garden, but as there was little to do in the frosty season, he read to the old man and Agatha.",MWS
"I, not in deed, but in effect, was the true murderer.",MWS
"All this I endeavoured to veil, so that it might least impress my Idris; yet, as I have said, my courage survived even despair: I might be vanquished, but I would not yield.",MWS
